
---------------------------------------------
------------- Cheyette DD Model ------------
  SIGMA piecewise constant 
       for x in [0, 1], y = 0.2
       for x in [1, 2[, y = 0.2
       for x in [2, 3[, y = 0.2
       for x in [3, 4[, y = 0.2
       for x in [4, 5[, y = 0.2
       for x in [5, 6[, y = 0.2
       for x in [6, 7[, y = 0.2
       for x in [7, 8[, y = 0.2
       for x in [8, 9], y = 0.2
  M piecewise constant 
       for x in [0, 1], y = 0.4
       for x in [1, 2[, y = 0.4
       for x in [2, 3[, y = 0.4
       for x in [3, 4[, y = 0.4
       for x in [4, 5[, y = 0.4
       for x in [5, 6[, y = 0.4
       for x in [6, 7[, y = 0.4
       for x in [7, 8[, y = 0.4
       for x in [8, 9], y = 0.4
  k constant 
       k = 0.2
---------------------------------------------
shift 1 : r(t) / r(0)
courbe des taux ZC spot (yield)
listeMatu   ;   tauxZC
0 ; 0.0481018
0.5 ; 0.0481018
1 ; 0.0454337
1.5 ; 0.0435663
2 ; 0.0425312
2.5 ; 0.0419058
3 ; 0.0416209
3.5 ; 0.0413664
4 ; 0.0412767
4.5 ; 0.0412434
5 ; 0.0413025
5.5 ; 0.0413943
6 ; 0.041547
6.5 ; 0.0417485
7 ; 0.0419924
7.5 ; 0.0422102
8 ; 0.0424662
8.5 ; 0.042731
9 ; 0.0430291
9.5 ; 0.0432986
10 ; 0.0436006
10.5 ; 0.0438754
11 ; 0.0441821
11.5 ; 0.0444603
12 ; 0.04477
m : ;6.29055e-007; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;2.69792e-007; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;2.69819e-007; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;1.98605e-007; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;1.98625e-007; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;5.62511e-008; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;5.62567e-008; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;2.85725e-008; skewModel : ;-1.39692; skewQuote : ;-1.4
m : ;2.85725e-008; skewModel : ;-1.39692; skewQuote : ;-1.4
 Criteria : ;StationaryFunctionValue
 Root : ;[ 2.85725e-008 ]
 Min Function Value : ;0.00308022

sigma : ;0.284178; volModel : ;0.143099; volQuote : ;0.143
sigma : ;0.284178; volModel : ;0.143099; volQuote : ;0.143
sigma : ;0.284206; volModel : ;0.143113; volQuote : ;0.143
sigma : ;0.283983; volModel : ;0.143; volQuote : ;0.143
sigma : ;0.284011; volModel : ;0.143014; volQuote : ;0.143
sigma : ;0.283983; volModel : ;0.143; volQuote : ;0.143
sigma : ;0.283983; volModel : ;0.143; volQuote : ;0.143
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.283983 ]
 Min Function Value : ;4.996e-016


------ Calibration sur la swaption suivante -------

sigma : ;0.2; volModel : ;0.111443; volQuote : ;0.135
sigma : ;0.2; volModel : ;0.111443; volQuote : ;0.135
sigma : ;0.20002; volModel : ;0.111447; volQuote : ;0.135
sigma : ;0.308984; volModel : ;0.13815; volQuote : ;0.135
sigma : ;0.309015; volModel : ;0.138158; volQuote : ;0.135
sigma : ;0.297239; volModel : ;0.135024; volQuote : ;0.135
sigma : ;0.297268; volModel : ;0.135032; volQuote : ;0.135
sigma : ;0.297149; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.297179; volModel : ;0.135008; volQuote : ;0.135
sigma : ;0.297149; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.297179; volModel : ;0.135008; volQuote : ;0.135
sigma : ;0.297149; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.297149; volModel : ;0.135; volQuote : ;0.135
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.297149 ]
 Min Function Value : ;3.05311e-016

m : ;0.4; skewModel : ;-0.320171; skewQuote : ;-1.1
m : ;0.4; skewModel : ;-0.320171; skewQuote : ;-1.1
m : ;0.40004; skewModel : ;-0.320064; skewQuote : ;-1.1
m : ;0.107913; skewModel : ;-1.10357; skewQuote : ;-1.1
m : ;0.107924; skewModel : ;-1.10354; skewQuote : ;-1.1
m : ;0.10924; skewModel : ;-1.1; skewQuote : ;-1.1
m : ;0.109251; skewModel : ;-1.09997; skewQuote : ;-1.1
m : ;0.10924; skewModel : ;-1.1; skewQuote : ;-1.1
m : ;0.109251; skewModel : ;-1.09997; skewQuote : ;-1.1
m : ;0.10924; skewModel : ;-1.1; skewQuote : ;-1.1
m : ;0.10924; skewModel : ;-1.1; skewQuote : ;-1.1
 Criteria : ;StationaryFunctionValue
 Root : ;[ 0.10924 ]
 Min Function Value : ;9.98313e-013

sigma : ;0.297149; volModel : ;0.139733; volQuote : ;0.135
sigma : ;0.297149; volModel : ;0.139733; volQuote : ;0.135
sigma : ;0.297179; volModel : ;0.139742; volQuote : ;0.135
sigma : ;0.28069; volModel : ;0.135053; volQuote : ;0.135
sigma : ;0.280718; volModel : ;0.135061; volQuote : ;0.135
sigma : ;0.280501; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.280529; volModel : ;0.135008; volQuote : ;0.135
sigma : ;0.280501; volModel : ;0.135; volQuote : ;0.135
sigma : ;0.280529; volModel : ;0.135008; volQuote : ;0.135
sigma : ;0.280501; volModel : ;0.135; volQuote : ;0.135
